Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
170.554,462.209,6016,2688,128,0.021,0.161,0.000,0,3,873.990,95.491,7.337,3.542,1.255,3.537,869.297,95.664,9.344,851,78,1,49,37,11
412.691,781.353,14557,5072,67,0.005,0.068,0.000,0,1,1050.220,97.318,7.780,5.063,1.830,4.723,1048.418,94.433,10.104,1018,61,1,64,66,14
11.056,41.816,390,198,0,0.000,0.000,0.000,0,0,1058.954,146.613,5.513,1.485,0.487,1.462,NaN,NaN,NaN,1053,143,1,14,8,9
78.218,252.406,2759,1328,7,0.003,0.050,0.000,0,1,1073.755,166.609,4.974,2.770,0.891,2.657,1078.000,168.571,7.143,1062,148,1,26,40,9
4.961,23.704,175,107,0,0.000,0.000,0.000,0,0,1055.257,172.680,4.937,1.206,0.486,1.161,NaN,NaN,NaN,1052,170,1,7,6,8
82.215,249.090,2900,1327,178,0.061,0.387,0.000,0,7,963.584,181.662,5.894,3.000,1.223,2.969,960.343,184.017,7.770,947,158,1,35,37,10
379.039,760.727,13370,4882,192,0.014,0.122,0.000,0,2,991.584,236.135,9.211,5.040,1.928,5.010,982.688,236.297,12.474,953,212,1,75,51,17
57.352,136.778,2023,786,2,9.886E-4,0.031,0.000,0,1,1189.912,224.986,4.756,2.353,0.432,2.381,1188.000,232.500,8.000,1177,216,1,27,22,9
9.809,49.075,346,224,8,0.023,0.151,0.000,0,1,1170.101,230.147,4.272,1.443,0.488,1.526,1173.000,230.625,6.000,1163,226,1,15,9,8
13.098,42.471,462,236,17,0.037,0.188,0.000,0,1,1160.994,242.208,3.965,1.507,0.363,1.572,1162.765,243.059,6.765,1157,237,1,9,11,8
114.165,280.522,4027,1620,130,0.032,0.190,0.000,0,2,1205.387,250.355,4.862,3.021,0.753,2.979,1209.800,254.831,5.346,1184,234,1,38,33,10
17.605,53.318,621,294,0,0.000,0.000,0.000,0,0,1182.306,260.878,4.089,1.639,0.354,1.693,NaN,NaN,NaN,1176,256,1,13,11,8
